"id","created_at","updated_at","name","start_date","end_date","cme_provider","venue","lat","lng","description","instructors","cme_credit","self_assessment_module","crawl_url","cme_course_webpage_url","background_image","price","event_type","is_edited","need_map_data","status","medical_field","points","event_remark","destination_id"

25,"2024-01-04 09:38:10.273","2024-01-05 03:34:02.747",Tutorials in Diagnostic Radiology,"2025-01-12 00:00:00.000","2025-01-16 00:00:00.000","Mayo Clinic Department of Radiology ›, CME Office, 200 1st Street SW, Mayo 2-48W, Rochester, Minnesota (MN)  55905, United States","The Fairmont Kea Lani, 4100 Wailea Alanui Drive, Maui, Hawaii (HI), United States",20.675571,-156.44142,"COURSE HIGHLIGHTS
• Post graduate course designed to update the diagnostic radiologist on new trends, relevant techniques and practical applications
• Will emphasize the latest advances related to common problems encountered in clinical practices
• Multi-subspecialty course that utilizes a combination of didactic lectures and Q&A sessions
• Convenient half day course format allows for time with family and friends exploring beautiful Maui!
Visit the CME Course Webpage ›
View the Course Brochure ›","COURSE DIRECTORS
Robert P. Hartman, M.D.
B. Matthew Howe, M.D.
Christopher H. Hunt, M.D.
Robert W. Maxwell, M.D.",Physicians:  Credit Available,No,http://www.radlist.com//PubCMEDetails.aspx?id=24420,https://radiologyeducation.mayo.edu/store/tutorials-in-diagnostic-radiology-2025,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",9

51,"2024-01-04 09:38:12.392","2024-01-05 03:33:42.609",SRU 31st Annual Meeting (Online Streaming & USB Formats),"2022-02-04 00:00:00.000","2025-02-03 00:00:00.000","Meetings By Mail ›, Gregg Savarese, 611 Route 46 West, 4th Floor, Hasbrouck Heights, New Jersey (NJ)  07604, United States","",,,"The Society of Radiologists in Ultrasound (SRU) has promoted the science, practice and teaching of sonography for over three decades. Its 31st Annual Meeting, features nearly eighty expert faculty members providing a detailed update and review of all facets of ultrasound.  As such, this activity is an essential resource for all that are interested in this constantly evolving modality.  Its content will help radiologists maintain their leadership in clinical ultrasound imaging, by providing insight in new technology and techniques.  The SRU 31st Annual Meeting is worth 35 AMA PRA Category I Credits™, which fulfills ABR Self Assessment CME requirements for Maintenance of Certification (MOC). Additionally, this activity meets the ACR CME requirement for accreditation in Ultrasound.
Topics: obstetric, gynecologic, pediatric, vascular, gastrointestinal, hepatobiliary, pancreas, head and neck, vascular, acute settings, challenging measurements, artificial intelligence, ultrasound contrast, professional development and much more!
Available now in online streaming and USB Flash Drive formats!
Visit the CME Course Webpage ›
View the Course Brochure ›",Nearly 80 internationally acclaimed experts from the Society of Radiologists in Ultrasound.,Physicians:  35 Hours,Yes,http://www.radlist.com//PubCMEDetails.aspx?id=24262,https://meetings-by-mail.com/proddetail.asp?prod=SRU21,"","",Courses,false,false,ACCEPTED,Radiology,,"",

54,"2024-01-04 09:38:12.465","2024-01-05 03:33:42.833",Breast Imaging CME: Hot Topics Part 1,"2021-01-16 00:00:00.000","2024-01-16 00:00:00.000","Efficiency Learning Systems Inc ›, Christy Lowry, PO Box 45027, Tampa, Florida (FL)  33677, United States","",,,"A balanced program of case and didactic presentations covering Tomosynthesis, Ultrasound, MRI, and multimodality approaches with practical details. The cases and presentations include biopsy and breast imaging issues you face every day. Also includes timely technology for synthetic 2D imaging for your tomosynthesis practice.
Visit the CME Course Webpage ›","Haydee Ojeda-Fournier, MD
Susan C. Harvey, MD
Sona A. Chikarmane, MD
Robert Jared Weinfurtner, MD
Kathleen Gundry, MD",Physicians:  15 Hours,No,http://www.radlist.com//PubCMEDetails.aspx?id=24645,https://cme.effsystems.com/products/breast-imaging-current-topics/collection,"","",Courses,false,false,ACCEPTED,Radiology,,"",

13,"2024-01-04 09:38:03.378","2024-01-05 03:34:02.801","6th Annual Advances in First Trimester Ultrasound Imaging","2023-05-05 00:00:00.000","2023-05-07 00:00:00.000","Educational Symposia (ESI) ›, Lucy Smith, 5620 W. Sligh Avenue, Tampa, Florida (FL)  33634-4490, United States","The Ritz Carlton, Pentagon City, 1250 South Hayes Street, Arlington, Virginia (VA), United States",38.862816,-77.06015,"About the Meeting
This symposium is structured as a practical, clinically oriented review of recent advances in first trimester ultrasound. A mix of topics including comprehensive normal fetal anatomy along with abnormalities of major organ systems in the first trimester will be discussed. Guidelines and indications for imaging in the first trimester are discussed so registrants can expand their clinical practices. Tips, images, and pitfalls provide balance to the program.
Target Audience
This program is designed for obstetricians and gynecologists, maternal-fetal medicine physicians, radiologists, family medicine physicians, genetic counselors and sonographers, who order, perform and interpret ultrasound examinations in obstetrics and gynecology. The goal of this educational activity is to bring the level of practice for the health practitioners to a higher degree of proficiency in obstetric sonography.
Visit the CME Course Webpage ›","Faculty
Alfred Abuhamad, M.D.
Professor and Chairman
Department of Obstetrics and Gynecology
Vice Dean for Clinical Affairs
Eastern Virginia Medical School
Norfolk, VA
Reem S. Abu-Rustum, M.D., FACOG, FACS, FAIUM
Associate Professor
Director of Ultrasound Education and Research
Division of Maternal Fetal Medicine
Department of Obstetrics and Gynecology
University of Florida
Gainesville, FL
Bryann Bromley, M.D.
Professor of Obstetrics, Gynecology and Reproductive Biology, Part time
Massachusetts General Hospital
Harvard Medical School
Diagnostic Ultrasound Associates, partner
Boston, MA
Mary E. Norton, M.D.
Professor
Department of Obstetrics, Gynecology, and Reproductive Sciences
University of California, San Francisco
San Francisco, CA
Lawrence D. Platt, M.D.
Director Center for Fetal Medicine and Women's Ultrasound
Professor (Clinical) OBGYN David Geffen School of Medicine at UCLA
Los Angeles, CA
Elena Sinkovskaya, M.D., Ph.D., RDMS, RDCS
Professor of Obstetrics and Gynecology
Director of Ultrasound Research & Education
Division of Maternal-Fetal Medicine
Eastern Virginia Medical School
Norfolk, VA","Physicians:  13.5 Hours
Radiologic Technologists:  14.75 A CE Hours",No,http://www.radlist.com//PubCMEDetails.aspx?id=24591,https://edusymp.com/product/details/1511,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",1

50,"2024-01-04 09:38:12.387","2024-01-05 03:33:42.584",UCSF Neuro and Musculoskeletal Imaging - Series 442,"2022-05-16 00:00:00.000","2025-05-15 00:00:00.000","UCSF Radiology ›, Continuing Education, 521 Parnassus Ave - S257, San Francisco, California (CA)  94143-0628, United States","",,,"A review of the neuro and musculoskeletal systems utilizing CT and MRI.
Visit the CME Course Webpage ›","UCSF Neuro Faculty:  Christine Glastonbury, MBBS;  Vinil Shah, MD;  Leo Sugrue, MD PhD.
UCSF Skeletal Faculty:  Matthew Bucknor, MD;  Kevin McGill, MD MPH;  Lynne Steinbach, MD.
Guest Skeletal Faculty:  Ramya Srinivasan, MD - Wilcox Medical Center, Kauai.",Physicians:  22.25 Hours,No,http://www.radlist.com//PubCMEDetails.aspx?id=24480,https://oakstone.com/ucsf-neuro-and-musculoskeletal-imaging/,"","",Courses,false,false,ACCEPTED,Radiology,,"",

38,"2024-01-04 09:38:10.501","2024-01-05 03:34:02.762",Radiology at Amelia Island,"2023-06-26 00:00:00.000","2023-06-30 00:00:00.000","Mayo Clinic Department of Radiology ›, CME Office, 200 1st Street SW, Mayo 2-48W, Rochester, Minnesota (MN)  55905, United States","The Ritz-Carlton Amelia Island, 4750 Amelia Island Parkway, Amelia Island, Florida (FL), United States",30.594027,-81.44475,"Radiology at Amelia Island is a post-graduate continuing medical education course that will provide radiologists and radiologists-in-training with a subspecialty review of practical applications, current trends and emerging techniques in diagnostic and interventional radiology.
The 5-day course will include interactive lectures and panel discussions from world-renowned practicing radiologists at Mayo Clinic. Each day of the course will focus on particular radiology subspecialties including body imaging, neuroradiology, musculoskeletal imaging, nuclear medicine, breast imaging, and interventional radiology. In addition to the traditional subspecialty presentations, unique lectures will also be included on artificial intelligence, process quality improvement, medical legal issues, radiology administration, and 3D printing.
Visit the CME Course Webpage ›","Candice W. Bolan, M.D.
Robert W. Maxwell, M.D.
Erik H. Middlebrooks, M.D.
Jeffrey J. Peterson, M.D.
Faculty:
Alok A. Bhatt, M.D.
Candice W. Bolan, M.D.
Andrew W. Bolan, M.D., Ph.D.
Timothy R. Buskirk, J.D.
Frank K. Chen, M.D.
Mary (Jennings) J. Clingan, M.D.
Isabel O. Cortopassi, M.D.
Amit B. Desai, M.D.
David J. DiSantis, M.D.
Hillary W. Garner, M.D.
Marina E. Giurescu, M.D.
Matthew T. Heller, M.D.
Tara L. Henrichsen, M.D.
Thien Huynh, M.D.
Elizabeth M. Johnson, M.D.
Mark J. Kransdorf, M.D.
Jordan D. LeGout, M.D.
Robert W. Maxwell, M.D.
Steven A. Messina, M.D.
Erik H. Middlebrooks, M.D.
Ephraim E. Parent, M.D., Ph.D.
Jeffrey J. Peterson, M.D.
Kristin A. Robinson, M.D.
Ronnie A. Sebro, M.D., Ph.D.
Taylor L. (Lindsay) Shaw, M.H.A.
Shannon P. Sheedy, M.D.
Rupert O. Stanborough, M.D.
Jeffrey A. Stone, M.D.
Daniel E. Wessell, M.D., Ph.D.",Physicians:  26.25 Hours,No,http://www.radlist.com//PubCMEDetails.aspx?id=24455,https://radiologyeducation.mayo.edu/store/radiology-at-amelia-island-2023,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",3

8,"2024-01-04 09:38:03.293","2024-01-05 03:34:02.788",Brain Imaging in Diagnosis of Dementia -  Remote CME Fellowship,"2023-10-23 00:00:00.000","2023-10-25 00:00:00.000","TMC Academy ›, C/Marina 16-18, 21st floor, Barcelona, 08005, Spain","TMC Academy, C/Marina, 16-18, floor 33, Barcelona, 08005, Spain",41.389706,2.1934235,"This 3-day Online Fellowship covers CT and MRI of the brain in dementia disorders covering both basic and early advanced knowledge. We will discuss imaging findings with a lecture, followed by individual case reading with a subsequent group discussion.
TMC Academy fellowships are held in a virtual classroom environment on Zoom. Participants are encouraged to engage in discussions making use of their camera and microphone in order to recreate the face-to-face experience.
Visit the CME Course Webpage ›",Elna-Marie Larsson M.D. Ph.D.,"Physicians:  Credit Available
Radiologic Technologists:  Credit Available",No,http://www.radlist.com//PubCMEDetails.aspx?id=24544,https://academy.telemedicineclinic.com/fellowships/3600/online-dementia-imaging-fellowship-oct-2023/,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",2

53,"2024-01-04 09:38:12.464","2024-01-05 03:33:42.804",UCSF Emergency & Trauma Imaging - Series 467,"2021-12-16 00:00:00.000","2024-12-15 00:00:00.000","UCSF Radiology ›, Continuing Education, 3333 California Street, Suite 375, San Francisco, California (CA)  94118, United States","",,,"A review of ER & Trauma imaging and protocols, focusing on: abdomen-pelvis, skeletal, chest, neuro imaging, as well as interventional procedures.
Visit the CME Course Webpage ›",Speakers include 25 UCSF Faculty.,Physicians:  12.5 Hours,No,http://www.radlist.com//PubCMEDetails.aspx?id=24478,https://oakstone.com/ucsf-emergency-and-trauma-imaging/,"","",Courses,false,false,ACCEPTED,Radiology,,"",

29,"2024-01-04 09:38:10.401","2024-01-05 03:34:02.707","2023 Top 3 Differentials in Radiology","2023-04-24 00:00:00.000","2023-04-28 00:00:00.000","American Osteopathic College of Radiology ›, 119 East Second Street, Milan, Missouri (MO)  63556-4011, United States","The Wigwam, 300 East Wigwam Blvd, Litchfield Park, Arizona (AZ), United States",33.495228,-112.355125,"The 2023 “Top 3” Conference, sponsored by the American Osteopathic College of Radiology, is intended for practicing radiologists and radiology trainees as a comprehensive and practical case-based radiology review.  All subspecialties and imaging modalities will be covered with lectures divided into the following sections: neuroimaging, musculoskeletal imaging, gastrointestinal imaging, genitourinary imaging, ultrasound imaging, cardiothoracic imaging, pediatric imaging, breast imaging, vascular & interventional radiology, and nuclear medicine.  Lectures are provided by a distinguished group of faculty with a wealth of clinical and teaching experience, each covering the key clinical and imaging findings for differentials within common imaging gamuts, as well as characteristic “Aunt Minnie” cases.  Our goal is to provide attendees with a comprehensive gamut-based approach to image interpretation with helpful pearls to help distinguish between entities on a list of differential diagnoses.
Visit the CME Course Webpage ›
View the Course Brochure ›","William O’Brien, DO; Christine Glastonbury, MBBS; Jennifer McCarty, MD; Rocky Saenz, DO; Shaun Wahab, MD; Ram Chadalavada, MD; John Lichtenberger, MD; Carl Merrow, MD; Christine Chung, MD; Lori Strachowski, MD; Rifat Wahab, DO; Timothy McKnight, DO",Physicians:  30 Hours,Yes,http://www.radlist.com//PubCMEDetails.aspx?id=24569,https://www.aocr.org/events/EventDetails.aspx?id=1616453,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",7

12,"2024-01-04 09:38:03.377","2024-01-05 03:34:02.723",The 26th Clinical Ultrasound 2023 Incorporating New Guidelines and Techniques into Your US Practice,"2023-06-09 00:00:00.000","2023-06-11 00:00:00.000","Educational Symposia (ESI) ›, 5620 W. Sligh Avenue, Tampa, Florida (FL)  33634-4490, United States","The Ritz-Carlton Coconut Grove, Miami, 3300 Southwest Twenty-Seventh Avenue, Miami, Florida (FL), United States",25.96935,-80.21478,"bout This CME Teaching Activity
This symposium is structured as a practical, clinically focused review of diagnostic ultrasound. A mix of ob-gyn, abdominal, vascular and small parts lectures provide a well-rounded review of common clinical ultrasound procedures. Topics are presented in a case-based approach providing updated AIUM recommendations, protocol optimization, tips, and pitfalls so registrants can expand their clinical practices. Faculty have been selected for their teaching ability, as well as for their expertise.
Target Audience
This course is designed to educate those who order, perform, and interpret clinical ultrasound studies. It should be particularly valuable for diagnostic imaging physicians, ob-gyn physicians, vascular surgeons, and referring physicians who utilize ultrasound to evaluate the clinical status of their patients. The symposium should also be valuable for sonographers who perform these procedures.
Visit the CME Course Webpage ›","Program Chair: Leslie M. Scoutt, M.D.
Faculty
Richard G. Barr, M.D., Ph.D., FACR, FSRU
Professor of Radiology
Northeastern Ohio Medical University
Southwoods Imaging
Youngstown, OH
Mindy M. Horrow, M.D., FACR, FSRU, FAIUM
Emeritus Member of the Department of Radiology
Einstein Healthcare Network
Philadelphia, PA
Levon Nazarian, M.D.
Professor of Radiology
The William E. Conrady, MD Professor of Radiology, Vice-Chair for Education
Thomas Jefferson University
Philadelphia, PA
Shuchi Rodgers, M.D.
Associate Professor, Clinical Educator Track
Chief of Radiology at Jefferson Health New Jersey
Vice Chair Radiology, Thomas Jefferson University
Cherry Hill, NJ
Leslie M. Scoutt, M.D.
Professor of Radiology, Surgery & Cardiology
Vice Chair for Education, Department of Radiology & Biomedical Imaging
Medical Director of the Non-Invasive Vascular Lab
Yale School of Medicine
New Haven, CT
Lori M. Strachowski, M.D.
Clinical Professor
Department of Radiology and Biomedical Imaging and Obstetrics, Gynecology, and Reproductive Sciences
University of California, San Francisco
San Francisco, CA","Physicians:  19.25 Hours
Radiologic Technologists:  TBD Hours",No,http://www.radlist.com//PubCMEDetails.aspx?id=24592,https://edusymp.com/product/details/1528,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",4

47,"2024-01-04 09:38:12.383","2024-01-05 03:33:42.606",UCSF Abdominal & Thoracic Imaging - Series 436,"2022-04-16 00:00:00.000","2025-04-15 00:00:00.000","UCSF Radiology ›, Continuing Education, 521 Parnassus Ave - Rm S257, San Francisco, California (CA)  94118, United States","",,,"A review of the abdomen, pelvis and chest utilizing CT, MR and US. Abdomen-pelvis includes GI, GU and ObGyn.
Visit the CME Course Webpage ›","UCSF Abdominal Faculty: John Mongan, MD PhD;  Michael Ohliger, MD PhD;  Liina Poder, MD;  Preethi Raghu, MD.
UCSF Thoracic Faculty:  Michael Hope, MD;  Kimberly Kallianos, MD.",Physicians:  20.75 Hours,No,http://www.radlist.com//PubCMEDetails.aspx?id=24479,https://oakstone.com/ucsf-abdominal-and-thoracic-imaging/,"","",Courses,false,false,ACCEPTED,Radiology,,"",

60,"2024-01-04 09:38:12.475","2024-01-05 03:33:42.866",UCSF Rad Breast Imaging - Series 470,"2022-05-16 00:00:00.000","2025-05-15 00:00:00.000","UCSF Radiology CME ›, c/o Oaksteon-CMEinfo, 3333 California Street, Suite 375, San Francisco, California (CA)  94118, United States","",,,"Includes didactic lectures and challenging cases sessions.
Modalities include mammography, ultrasound, breast MRI, tomosynthesis.
Expires for credit: May 15, 2025
Visit the CME Course Webpage ›","Visit the course webpage listed above for information on pricing, lecture topics and speakers. Series are sold directly thru Oakstone-CMEinfo.",Physicians:  20.0 Hours,No,http://www.radlist.com//PubCMEDetails.aspx?id=23410,https://www.oakstone.com/ucsf-breast-imaging,"","",Courses,false,false,ACCEPTED,Radiology,,"",

20,"2024-01-04 09:38:10.269","2024-01-05 03:34:02.668",Duke Radiology at Walt Disney World,"2023-11-05 00:00:00.000","2023-11-08 00:00:00.000","Duke University Department of Radiology ›, Debbie Griffin, Room 1531B Duke University Hospital, 2301 Erwin Road, Durham, North Carolina (NC)  27710, United States","Disney's Grand Floridian Resort & Spa, 4401 Floridian Way, Lake Buena Vista, Florida (FL), United States",28.411444,-81.58679,"This course is designed for the radiologist performing a combination of Abdoiminal, Cardiothoracic, Musculoskeletal, Neuroradiology, Nuclear Medicine as well as Interventional Radiology.
Visit the CME Course Webpage ›","Robert French, MD
Assistant Professor
Kirti Magudia, MD
Assistant Professor
Joseph Mammarappallil, MD PhD
Associate Professor
Waleska Pabon-Ramos, MD, MPH
Associate Professor
Terence Wong, MD PhD
Professor","Physicians:  20 Hours
Physician Assistants:  20 Hours",No,http://www.radlist.com//PubCMEDetails.aspx?id=24685,https://radiology.duke.edu/education/continuing-medical-education/duke-radiology-walt-disney-world-november-5-8-2023,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",1

30,"2024-01-04 09:38:10.407","2024-01-05 03:34:02.711",What's Trending in Breast Imaging,"2023-06-11 00:00:00.000","2023-06-14 00:00:00.000","Duke University Department of Radiology ›, Debbie Griffin, Box 3808, Duke University Medical Center, Durham, North Carolina (NC)  27710, United States","Wild Dunes Resort, 4600 Palm Boulevard, Isle of Palms, South Carolina (SC), United States",32.803844,-79.73893,"This program is designed to provide a comprehensive review and update of both established breast imaging modalities along with advances in state-of-the-art techniques.  A complete discussion with emphasis on practical advice of analog and digitial mammography, breast ultrasound and interventional techniques will provide a strong foundation to advance to newer technologies.
Visit the CME Course Webpage ›
View the Course Brochure ›","Sujata Ghate, M.D.
Karen Johnson, M.D.
Connie Kim, M.D.
Sora Yoon, M.D.","Physicians:  16 Hours
Physician Assistants:  16 Hours",No,http://www.radlist.com//PubCMEDetails.aspx?id=24570,https://radiology.duke.edu/education/continuing-medical-education/whats-trending-breast-imaging-current-topics-breast-0,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",14

